Program	Message	Time	Details
Battle.net	mouse left down	439641939	(909, 45)
Battle.net	mouse left up	439642111	(909, 45)
Battle.net	mouse left down	439642969	(672, 674)
Battle.net	mouse left up	439643109	(672, 674)
Hearthstone	mouse left down	439675932	(719, 601)
Hearthstone	mouse left up	439676119	(720, 599)
Hearthstone	key down	439766116	Numpad1
Hearthstone	key up	439766178	Numpad1
Resolution	1600	900
Hearthstone	key up	439774992	Home
Hearthstone	mouse left down	439780608	(569, 354)
Hearthstone	mouse left up	439780889	(569, 354)
Hearthstone	mouse left down	439782418	(742, 276)
Hearthstone	mouse left up	439782527	(741, 276)
Hearthstone	mouse left down	439794383	(1156, 750)
Hearthstone	mouse left up	439794508	(1156, 749)
Hearthstone	mouse left down	439840591	(820, 384)
Hearthstone	mouse left up	439840778	(820, 383)
Hearthstone	mouse left down	439842650	(870, 706)
Hearthstone	mouse left up	439842775	(870, 706)
Hearthstone	mouse left down	439854147	(1301, 409)
Hearthstone	mouse left up	439854335	(1301, 409)
Hearthstone	mouse left down	439892742	(948, 680)
Hearthstone	mouse left up	439892898	(948, 680)
Hearthstone	mouse left down	439894895	(1317, 413)
Hearthstone	mouse left up	439895191	(1317, 413)
Hearthstone	mouse left down	439922928	(552, 832)
Hearthstone	mouse left up	439923708	(784, 499)
Hearthstone	mouse left down	439927171	(1305, 409)
Hearthstone	mouse left up	439927327	(1305, 409)
Hearthstone	mouse right down	439943395	(785, 650)
Hearthstone	mouse right up	439943536	(785, 650)
Hearthstone	mouse left down	439944207	(676, 631)
Hearthstone	mouse left up	439944316	(675, 631)
Hearthstone	mouse left down	439965376	(612, 817)
Hearthstone	mouse left up	439966281	(684, 444)
Hearthstone	mouse left down	439971850	(851, 800)
Hearthstone	mouse left up	439972880	(951, 440)
Hearthstone	mouse left down	439976187	(803, 655)
Hearthstone	mouse left up	439977029	(733, 341)
Hearthstone	mouse left down	439981397	(1312, 405)
Hearthstone	mouse left up	439981569	(1313, 405)
Hearthstone	mouse left down	440009025	(974, 812)
Hearthstone	mouse left up	440010351	(781, 445)
Hearthstone	mouse left down	440011272	(794, 315)
Hearthstone	mouse left up	440011381	(794, 314)
Hearthstone	mouse left down	440014704	(740, 807)
Hearthstone	mouse left up	440015858	(806, 319)
Hearthstone	mouse left down	440020008	(924, 701)
Hearthstone	mouse left up	440020741	(924, 700)
Hearthstone	mouse left down	440022067	(800, 655)
Hearthstone	mouse left up	440022940	(792, 215)
Hearthstone	mouse left down	440025171	(1304, 399)
Hearthstone	mouse left up	440025296	(1304, 398)
Hearthstone	mouse left down	440044219	(852, 821)
Hearthstone	mouse left up	440044983	(865, 403)
Hearthstone	mouse left down	440045873	(955, 847)
Hearthstone	mouse left up	440046762	(1007, 462)
Hearthstone	mouse left down	440048337	(811, 662)
Hearthstone	mouse left up	440049195	(781, 204)
Hearthstone	mouse left down	440051426	(1294, 386)
Hearthstone	mouse left up	440051582	(1294, 386)
Hearthstone	mouse left down	440084514	(967, 667)
Hearthstone	mouse left up	440084998	(967, 667)
Hearthstone	mouse left down	440086807	(951, 873)
Hearthstone	mouse left up	440087587	(943, 464)
Hearthstone	mouse left down	440089178	(721, 470)
Hearthstone	mouse left up	440089693	(789, 218)
Hearthstone	mouse left down	440089771	(789, 218)
Hearthstone	mouse left up	440090130	(789, 218)
Hearthstone	mouse left down	440090723	(738, 453)
Hearthstone	mouse left up	440091284	(795, 161)
Hearthstone	mouse left down	440092158	(852, 455)
Hearthstone	mouse left up	440092860	(797, 191)
Hearthstone	mouse left down	440094326	(819, 669)
Hearthstone	mouse left up	440095122	(795, 214)
Hearthstone	mouse left down	440097228	(1301, 398)
Hearthstone	mouse left up	440097384	(1301, 398)
Hearthstone	mouse left down	440126884	(939, 827)
Hearthstone	mouse left up	440128662	(997, 466)
Hearthstone	mouse left down	440131720	(666, 473)
Hearthstone	mouse left up	440132282	(724, 334)
Hearthstone	mouse left down	440135589	(817, 479)
Hearthstone	mouse left up	440136509	(814, 364)
Hearthstone	mouse left down	440138537	(1282, 399)
Hearthstone	mouse left up	440138709	(1282, 399)
Hearthstone	mouse left down	440163451	(940, 814)
Hearthstone	mouse left up	440164699	(937, 489)
Hearthstone	mouse left down	440167210	(784, 814)
Hearthstone	mouse left up	440168084	(950, 500)
Hearthstone	mouse left down	440170112	(814, 466)
Hearthstone	mouse left up	440170580	(803, 361)
Hearthstone	mouse left down	440171531	(695, 484)
Hearthstone	mouse left up	440172389	(796, 162)
Hearthstone	mouse left down	440174152	(1302, 391)
Hearthstone	mouse left up	440174293	(1302, 391)
Hearthstone	mouse left down	440204510	(638, 804)
Hearthstone	mouse left up	440205352	(510, 519)
Hearthstone	mouse left down	440206491	(831, 858)
Hearthstone	mouse left up	440207505	(999, 468)
Hearthstone	mouse left down	440211015	(794, 842)
Hearthstone	mouse left up	440211561	(1130, 477)
Hearthstone	mouse left down	440221545	(865, 463)
Hearthstone	mouse left up	440222138	(807, 377)
Hearthstone	mouse left down	440222871	(745, 484)
Hearthstone	mouse left up	440223870	(808, 201)
Hearthstone	mouse left down	440224696	(612, 470)
Hearthstone	mouse left up	440225242	(810, 155)
Hearthstone	mouse left down	440226038	(797, 646)
Hearthstone	mouse left up	440226584	(830, 201)
Hearthstone	mouse left down	440228737	(1322, 414)
Hearthstone	mouse left up	440228877	(1321, 413)
Hearthstone	mouse left down	440251965	(708, 839)
Hearthstone	mouse left up	440254149	(686, 839)
Hearthstone	mouse left down	440259282	(722, 839)
Hearthstone	mouse left up	440260920	(871, 470)
Hearthstone	mouse left down	440262761	(769, 821)
Hearthstone	mouse left up	440263946	(937, 477)
Hearthstone	mouse left down	440265038	(820, 827)
Hearthstone	mouse left up	440266255	(903, 503)
Hearthstone	mouse left down	440270748	(747, 830)
Hearthstone	mouse left up	440271871	(834, 799)
Hearthstone	mouse left down	440272277	(933, 675)
Hearthstone	mouse left up	440272417	(933, 675)
Hearthstone	mouse left down	440273977	(690, 459)
Hearthstone	mouse left up	440274757	(810, 157)
Hearthstone	mouse left down	440276863	(904, 451)
Hearthstone	mouse left up	440277565	(810, 212)
Hearthstone	mouse left down	440278907	(782, 653)
Hearthstone	mouse left up	440279718	(805, 189)
Hearthstone	mouse left down	440291855	(922, 306)
Hearthstone	mouse left up	440292027	(922, 305)
Hearthstone	mouse left down	440294928	(1086, 368)
Hearthstone	mouse left up	440295069	(1086, 368)
Hearthstone	mouse left down	440296675	(1081, 371)
Hearthstone	mouse left up	440296941	(1081, 371)
Hearthstone	mouse left down	440299249	(1081, 371)
Hearthstone	mouse left up	440299437	(1081, 371)
Hearthstone	mouse left down	440305864	(1182, 731)
Hearthstone	mouse left up	440306035	(1182, 731)
Hearthstone	mouse left down	440339654	(699, 351)
Hearthstone	mouse left up	440339810	(699, 351)
Hearthstone	mouse left down	440340496	(710, 357)
Hearthstone	mouse left up	440340621	(711, 357)
Hearthstone	mouse left down	440340948	(906, 340)
Hearthstone	mouse left up	440341073	(906, 339)
Hearthstone	mouse left down	440341463	(1110, 361)
Hearthstone	mouse left up	440341572	(1110, 361)
Hearthstone	mouse left down	440342259	(794, 739)
Hearthstone	mouse left up	440342337	(794, 739)
Hearthstone	mouse left down	440363007	(954, 808)
Hearthstone	mouse left up	440363787	(955, 366)
Hearthstone	mouse left down	440364895	(864, 804)
Hearthstone	mouse left up	440365394	(1108, 351)
Hearthstone	mouse left down	440366205	(932, 863)
Hearthstone	mouse left up	440366860	(1016, 412)
Hearthstone	mouse left down	440368015	(800, 680)
Hearthstone	mouse left up	440368810	(810, 342)
Hearthstone	mouse left down	440371852	(1286, 397)
Hearthstone	mouse left up	440371993	(1285, 397)
Hearthstone	mouse left down	440400338	(951, 672)
Hearthstone	mouse left up	440400447	(951, 672)
Hearthstone	mouse left down	440402413	(784, 665)
Hearthstone	mouse left up	440403271	(873, 316)
Hearthstone	mouse left down	440405502	(1286, 399)
Hearthstone	mouse left up	440405907	(1286, 399)
Hearthstone	mouse left down	440430134	(570, 867)
Hearthstone	mouse left up	440431133	(807, 447)
Hearthstone	mouse left down	440435220	(1273, 401)
Hearthstone	mouse left up	440435407	(1273, 401)
Hearthstone	mouse left down	440469868	(818, 795)
Hearthstone	mouse left up	440470944	(754, 464)
Hearthstone	mouse left down	440472972	(858, 320)
Hearthstone	mouse left up	440473144	(857, 320)
Hearthstone	mouse left down	440474267	(943, 834)
Hearthstone	mouse left up	440475780	(887, 494)
Hearthstone	mouse left down	440477013	(857, 334)
