Program	Message	Time	Details
PAC-MAN Championship Edition DX+	key down	224532	Volume_Up
PAC-MAN Championship Edition DX+	key up	224532	Volume_Up
PAC-MAN Championship Edition DX+	key down	224828	Volume_Up
PAC-MAN Championship Edition DX+	key up	224828	Volume_Up
PAC-MAN Championship Edition DX+	key down	225047	Volume_Up
PAC-MAN Championship Edition DX+	key up	225047	Volume_Up
PAC-MAN Championship Edition DX+	key down	225218	Volume_Up
PAC-MAN Championship Edition DX+	key up	225218	Volume_Up
PAC-MAN Championship Edition DX+	key down	243002	Return
PAC-MAN Championship Edition DX+	key up	243111	Return
PAC-MAN Championship Edition DX+	key down	249242	Volume_Down
PAC-MAN Championship Edition DX+	key up	249242	Volume_Down
PAC-MAN Championship Edition DX+	key down	250709	Volume_Down
PAC-MAN Championship Edition DX+	key up	250724	Volume_Down
Resolution	1600	900
PAC-MAN Championship Edition DX+	key up	255685	Home
PAC-MAN Championship Edition DX+	mouse left down	258166	(243, 490)
PAC-MAN Championship Edition DX+	mouse left up	258306	(243, 490)
PAC-MAN Championship Edition DX+	key down	261956	Left
PAC-MAN Championship Edition DX+	key up	262112	Left
PAC-MAN Championship Edition DX+	key down	262674	Right
PAC-MAN Championship Edition DX+	key up	262846	Right
PAC-MAN Championship Edition DX+	key down	263345	Right
PAC-MAN Championship Edition DX+	key up	263501	Right
PAC-MAN Championship Edition DX+	key down	263844	Left
PAC-MAN Championship Edition DX+	key up	263984	Left
PAC-MAN Championship Edition DX+	key down	265014	Return
PAC-MAN Championship Edition DX+	key up	265139	Return
PAC-MAN Championship Edition DX+	key down	265217	Right
PAC-MAN Championship Edition DX+	key up	265248	Right
PAC-MAN Championship Edition DX+	key down	267838	Return
PAC-MAN Championship Edition DX+	key up	267931	Return
PAC-MAN Championship Edition DX+	key down	272939	Return
PAC-MAN Championship Edition DX+	key up	273048	Return
PAC-MAN Championship Edition DX+	key down	277993	Left
PAC-MAN Championship Edition DX+	key down	278570	Up
PAC-MAN Championship Edition DX+	key up	278586	Left
PAC-MAN Championship Edition DX+	key up	278929	Up
PAC-MAN Championship Edition DX+	key down	279038	Up
PAC-MAN Championship Edition DX+	key down	282159	Right
PAC-MAN Championship Edition DX+	key up	282205	Up
PAC-MAN Championship Edition DX+	key down	282268	Up
PAC-MAN Championship Edition DX+	key up	282377	Up
PAC-MAN Championship Edition DX+	key down	284655	Down
PAC-MAN Championship Edition DX+	key up	284686	Right
PAC-MAN Championship Edition DX+	key up	285091	Down
PAC-MAN Championship Edition DX+	key down	285138	Down
PAC-MAN Championship Edition DX+	key down	288383	Left
PAC-MAN Championship Edition DX+	key up	288523	Down
PAC-MAN Championship Edition DX+	key down	289506	Up
PAC-MAN Championship Edition DX+	key up	289506	Left
PAC-MAN Championship Edition DX+	key up	290177	Up
PAC-MAN Championship Edition DX+	key down	290193	Left
PAC-MAN Championship Edition DX+	key down	292189	Up
PAC-MAN Championship Edition DX+	key up	292267	Left
PAC-MAN Championship Edition DX+	key down	292767	Left
PAC-MAN Championship Edition DX+	key up	292829	Left
PAC-MAN Championship Edition DX+	key down	292938	Left
PAC-MAN Championship Edition DX+	key up	292954	Up
PAC-MAN Championship Edition DX+	key down	293469	Up
PAC-MAN Championship Edition DX+	key up	293500	Up
PAC-MAN Championship Edition DX+	key up	293687	Left
PAC-MAN Championship Edition DX+	key down	293874	Right
PAC-MAN Championship Edition DX+	key down	294233	Up
PAC-MAN Championship Edition DX+	key up	294233	Right
PAC-MAN Championship Edition DX+	key down	294841	Left
PAC-MAN Championship Edition DX+	key up	294857	Up
PAC-MAN Championship Edition DX+	key up	295356	Left
PAC-MAN Championship Edition DX+	key down	295419	Right
PAC-MAN Championship Edition DX+	key down	295762	Down
PAC-MAN Championship Edition DX+	key up	295793	Right
PAC-MAN Championship Edition DX+	key down	296214	Left
PAC-MAN Championship Edition DX+	key up	296277	Down
PAC-MAN Championship Edition DX+	key down	296682	Down
PAC-MAN Championship Edition DX+	key up	296713	Left
PAC-MAN Championship Edition DX+	key up	301362	Down
PAC-MAN Championship Edition DX+	key down	301471	Up
PAC-MAN Championship Edition DX+	key up	302002	Up
PAC-MAN Championship Edition DX+	key down	302829	Right
PAC-MAN Championship Edition DX+	key up	303234	Right
PAC-MAN Championship Edition DX+	key down	305075	Down
PAC-MAN Championship Edition DX+	key up	305325	Down
PAC-MAN Championship Edition DX+	key down	307743	Left
PAC-MAN Championship Edition DX+	key up	310129	Left
PAC-MAN Championship Edition DX+	key down	310317	Up
PAC-MAN Championship Edition DX+	key up	310769	Up
PAC-MAN Championship Edition DX+	key down	315886	Right
PAC-MAN Championship Edition DX+	key up	316214	Right
PAC-MAN Championship Edition DX+	key down	317758	Down
PAC-MAN Championship Edition DX+	key up	317976	Down
PAC-MAN Championship Edition DX+	key down	318335	Up
PAC-MAN Championship Edition DX+	key up	318554	Up
PAC-MAN Championship Edition DX+	key down	318647	Right
PAC-MAN Championship Edition DX+	key up	318944	Right
PAC-MAN Championship Edition DX+	key down	319162	Left
PAC-MAN Championship Edition DX+	key up	319474	Left
PAC-MAN Championship Edition DX+	key down	319568	Down
PAC-MAN Championship Edition DX+	key up	320051	Down
PAC-MAN Championship Edition DX+	key down	322188	Right
PAC-MAN Championship Edition DX+	key up	322329	Right
PAC-MAN Championship Edition DX+	key down	322734	Left
PAC-MAN Championship Edition DX+	key up	322968	Left
PAC-MAN Championship Edition DX+	key down	325714	Right
PAC-MAN Championship Edition DX+	key up	325917	Right
PAC-MAN Championship Edition DX+	key down	326057	Up
PAC-MAN Championship Edition DX+	key up	326260	Up
PAC-MAN Championship Edition DX+	key down	328678	Left
PAC-MAN Championship Edition DX+	key up	328896	Left
PAC-MAN Championship Edition DX+	key down	329271	Right
PAC-MAN Championship Edition DX+	key up	329552	Right
PAC-MAN Championship Edition DX+	key down	331502	Up
PAC-MAN Championship Edition DX+	key up	331970	Up
PAC-MAN Championship Edition DX+	key down	333514	Left
PAC-MAN Championship Edition DX+	key up	333592	Left
PAC-MAN Championship Edition DX+	key down	334029	Left
PAC-MAN Championship Edition DX+	key up	334278	Left
PAC-MAN Championship Edition DX+	key down	338147	Up
PAC-MAN Championship Edition DX+	key up	338506	Up
PAC-MAN Championship Edition DX+	key down	339489	Left
PAC-MAN Championship Edition DX+	key up	339863	Left
PAC-MAN Championship Edition DX+	key down	343280	Up
PAC-MAN Championship Edition DX+	key up	343467	Up
PAC-MAN Championship Edition DX+	key down	344746	Left
PAC-MAN Championship Edition DX+	key up	344902	Left
PAC-MAN Championship Edition DX+	key down	346899	Down
PAC-MAN Championship Edition DX+	key up	347071	Down
PAC-MAN Championship Edition DX+	key down	349504	Left
PAC-MAN Championship Edition DX+	key up	349629	Left
PAC-MAN Championship Edition DX+	key down	351314	Up
PAC-MAN Championship Edition DX+	key up	351501	Up
PAC-MAN Championship Edition DX+	key down	353841	Right
PAC-MAN Championship Edition DX+	key up	354262	Right
PAC-MAN Championship Edition DX+	key down	355463	Down
PAC-MAN Championship Edition DX+	key up	355900	Down
PAC-MAN Championship Edition DX+	key down	358459	Left
PAC-MAN Championship Edition DX+	key up	358724	Left
PAC-MAN Championship Edition DX+	key down	360861	Up
PAC-MAN Championship Edition DX+	key up	361111	Up
PAC-MAN Championship Edition DX+	key down	361438	Left
PAC-MAN Championship Edition DX+	key up	361657	Left
PAC-MAN Championship Edition DX+	key down	362296	Up
PAC-MAN Championship Edition DX+	key up	362530	Up
PAC-MAN Championship Edition DX+	key down	363310	Right
PAC-MAN Championship Edition DX+	key up	363591	Right
PAC-MAN Championship Edition DX+	key down	364605	Left
PAC-MAN Championship Edition DX+	key up	364964	Left
PAC-MAN Championship Edition DX+	key down	365057	Up
PAC-MAN Championship Edition DX+	key up	365260	Up
PAC-MAN Championship Edition DX+	key down	365276	Right
PAC-MAN Championship Edition DX+	key down	365479	Up
PAC-MAN Championship Edition DX+	key up	365479	Right
PAC-MAN Championship Edition DX+	key up	365931	Up
PAC-MAN Championship Edition DX+	key down	366025	Right
PAC-MAN Championship Edition DX+	key up	366227	Right
PAC-MAN Championship Edition DX+	key down	369160	Down
PAC-MAN Championship Edition DX+	key up	369363	Down
PAC-MAN Championship Edition DX+	key down	369550	Right
PAC-MAN Championship Edition DX+	key up	369769	Right
PAC-MAN Championship Edition DX+	key down	370408	Down
PAC-MAN Championship Edition DX+	key up	370705	Down
PAC-MAN Championship Edition DX+	key down	371313	Left
PAC-MAN Championship Edition DX+	key up	371719	Left
PAC-MAN Championship Edition DX+	key down	372483	Right
PAC-MAN Championship Edition DX+	key up	372904	Right
