Program	Message	Time	Details
Steam	mouse left down	12383359	(1257, 18)
Steam	mouse left up	12383468	(1257, 18)
Steam	mouse left down	12384529	(924, 43)
Steam	mouse left up	12384638	(924, 43)
Steam	mouse left down	12387976	(981, 178)
Steam	mouse left up	12393499	(1012, 484)
Steam	mouse left down	12394295	(877, 533)
Steam	mouse left up	12394451	(877, 533)
Steam	mouse left down	12396619	(1051, 207)
Steam	mouse left up	12396728	(1051, 207)
Papers, Please - Steam	mouse left down	12399957	(846, 507)
Papers, Please - Steam	mouse left up	12401237	(846, 507)
Resolution	1600	900
Papers Please	key up	12419411	Home
Papers Please	mouse left down	12420331	(869, 496)
Papers Please	mouse left up	12420425	(869, 496)
Papers Please	mouse left down	12422188	(816, 613)
Papers Please	mouse left up	12422297	(816, 613)
Papers Please	mouse left down	12426041	(281, 311)
Papers Please	mouse left up	12426150	(281, 311)
Papers Please	key down	12430190	Space
Papers Please	key up	12430331	Space
Papers Please	mouse left down	12431126	(823, 719)
Papers Please	mouse left up	12431236	(822, 719)
Papers Please	mouse left down	12436212	(785, 717)
Papers Please	mouse left up	12436352	(786, 717)
Papers Please	mouse left down	12442156	(812, 724)
Papers Please	mouse left up	12442280	(812, 725)
Papers Please	mouse left down	12448754	(813, 725)
Papers Please	mouse left up	12448864	(812, 727)
Papers Please	mouse left down	12451765	(807, 730)
Papers Please	mouse left up	12451875	(807, 730)
Papers Please	mouse left down	12455759	(799, 732)
Papers Please	mouse left up	12455899	(799, 732)
Papers Please	mouse left down	12472279	(1109, 717)
Papers Please	mouse left up	12472389	(1109, 717)
Papers Please	mouse left down	12473886	(1109, 717)
Papers Please	mouse left up	12474058	(1109, 717)
Papers Please	mouse left down	12475103	(1109, 717)
Papers Please	mouse left up	12475415	(1109, 717)
Papers Please	mouse left down	12476788	(1112, 716)
Papers Please	mouse left up	12476944	(1112, 716)
Papers Please	mouse left down	12477474	(985, 493)
Papers Please	mouse left up	12478192	(329, 731)
Papers Please	mouse left down	12479658	(551, 383)
Papers Please	mouse left up	12479783	(551, 383)
Papers Please	mouse left down	12480641	(581, 280)
Papers Please	mouse left up	12480781	(581, 280)
Papers Please	mouse left down	12481889	(480, 730)
Papers Please	mouse left up	12482700	(1041, 567)
Papers Please	mouse left down	12483964	(1253, 547)
Papers Please	mouse left up	12484541	(1326, 550)
Papers Please	mouse left down	12488488	(406, 616)
Papers Please	mouse left up	12489455	(768, 545)
Papers Please	mouse left down	12491015	(1243, 536)
Papers Please	mouse left up	12491171	(1243, 536)
Papers Please	mouse left down	12495368	(1275, 597)
Papers Please	mouse left up	12495524	(1275, 597)
Papers Please	mouse left down	12500531	(1364, 454)
Papers Please	mouse left up	12500625	(1364, 454)
Papers Please	mouse left down	12501498	(777, 603)
Papers Please	mouse left up	12502965	(1237, 611)
Papers Please	mouse left down	12503370	(1189, 427)
Papers Please	mouse left up	12503464	(1189, 428)
Papers Please	mouse left down	12503651	(1236, 577)
Papers Please	mouse left up	12504338	(380, 480)
Papers Please	mouse left down	12508534	(577, 275)
Papers Please	mouse left up	12508706	(577, 275)
Papers Please	mouse left down	12515289	(406, 617)
Papers Please	mouse left up	12516241	(905, 578)
Papers Please	mouse left down	12517083	(1360, 431)
Papers Please	mouse left up	12517192	(1360, 432)
Papers Please	mouse left down	12517988	(856, 629)
Papers Please	mouse left up	12518222	(923, 650)
Papers Please	mouse left down	12518565	(960, 382)
Papers Please	mouse left up	12518674	(959, 382)
Papers Please	mouse left down	12519064	(991, 655)
Papers Please	mouse left up	12519704	(402, 417)
Papers Please	mouse left down	12522293	(585, 276)
Papers Please	mouse left up	12522371	(585, 276)
Papers Please	mouse left down	12528955	(399, 620)
Papers Please	mouse left up	12529594	(927, 554)
Papers Please	mouse left down	12530717	(1362, 451)
Papers Please	mouse left up	12530827	(1362, 451)
Papers Please	mouse left down	12531809	(846, 627)
Papers Please	mouse left up	12532589	(881, 644)
Papers Please	mouse left down	12533011	(917, 434)
Papers Please	mouse left up	12533135	(917, 437)
Papers Please	mouse left down	12533369	(987, 616)
Papers Please	mouse left up	12533900	(404, 468)
Papers Please	mouse left down	12536755	(577, 276)
Papers Please	mouse left up	12536895	(577, 276)
Papers Please	mouse left down	12538393	(565, 274)
Papers Please	mouse left up	12538502	(565, 274)
Papers Please	mouse left down	12545038	(402, 625)
Papers Please	mouse left up	12545818	(750, 564)
Papers Please	mouse left down	12551044	(1373, 441)
Papers Please	mouse left up	12551169	(1373, 441)
Papers Please	mouse left down	12552152	(1358, 464)
Papers Please	mouse left up	12552246	(1358, 464)
Papers Please	mouse left down	12552870	(799, 650)
Papers Please	mouse left up	12553478	(1242, 680)
Papers Please	mouse left down	12553915	(1171, 417)
Papers Please	mouse left up	12554008	(1171, 417)
Papers Please	mouse left down	12554289	(1178, 637)
Papers Please	mouse left up	12554944	(415, 458)
Papers Please	mouse left down	12557721	(578, 277)
Papers Please	mouse left up	12557877	(578, 277)
Papers Please	mouse left down	12568220	(578, 272)
Papers Please	mouse left up	12568345	(578, 272)
Papers Please	mouse left down	12574788	(420, 616)
Papers Please	mouse left up	12575302	(895, 556)
Papers Please	mouse left down	12576114	(1368, 427)
Papers Please	mouse left up	12576239	(1365, 429)
Papers Please	mouse left down	12576987	(975, 446)
Papers Please	mouse left up	12577081	(973, 446)
Papers Please	mouse left down	12577299	(898, 632)
Papers Please	mouse left up	12578033	(361, 413)
Papers Please	mouse left down	12580747	(579, 271)
Papers Please	mouse left up	12580872	(579, 271)
Papers Please	mouse left down	12587268	(397, 630)
Papers Please	mouse left up	12587689	(1052, 592)
Papers Please	mouse left down	12588266	(1374, 454)
Papers Please	mouse left up	12588407	(1373, 454)
Papers Please	mouse left down	12588828	(1362, 441)
Papers Please	mouse left up	12588968	(1362, 440)
Papers Please	mouse left down	12589530	(996, 448)
Papers Please	mouse left up	12589623	(996, 448)
Papers Please	mouse left down	12589889	(1010, 618)
Papers Please	mouse left up	12590403	(354, 412)
Papers Please	mouse left down	12592353	(585, 270)
Papers Please	mouse left up	12592509	(585, 270)
Papers Please	mouse left down	12599046	(401, 623)
Papers Please	mouse left up	12599436	(967, 586)
Papers Please	mouse left down	12600060	(1360, 441)
Papers Please	mouse left up	12600169	(1360, 441)
Papers Please	mouse left down	12600715	(1004, 443)
Papers Please	mouse left up	12600809	(1003, 443)
Papers Please	mouse left down	12601089	(1001, 648)
Papers Please	mouse left up	12601542	(393, 462)
Papers Please	mouse left down	12603336	(579, 269)
Papers Please	mouse left up	12603429	(579, 269)
Papers Please	mouse left down	12609779	(401, 593)
Papers Please	mouse left up	12610169	(901, 520)
Papers Please	mouse left down	12610949	(1351, 457)
Papers Please	mouse left up	12611058	(1351, 457)
Papers Please	mouse left down	12611776	(969, 454)
Papers Please	mouse left up	12611869	(968, 454)
Papers Please	mouse left down	12612103	(935, 605)
Papers Please	mouse left up	12612665	(459, 494)
Papers Please	mouse left down	12614474	(580, 274)
Papers Please	mouse left up	12614615	(580, 274)
Papers Please	mouse left down	12621026	(394, 612)
Papers Please	mouse left up	12621354	(851, 568)
Papers Please	mouse left down	12621994	(1356, 445)
Papers Please	mouse left up	12622103	(1355, 445)
Papers Please	mouse left down	12622415	(881, 617)
Papers Please	mouse left up	12622555	(935, 606)
Papers Please	mouse left down	12622898	(973, 378)
Papers Please	mouse left up	12623023	(973, 378)
Papers Please	mouse left down	12623335	(927, 566)
Papers Please	mouse left up	12623741	(406, 484)
Papers Please	mouse left down	12625098	(573, 271)
Papers Please	mouse left up	12625316	(573, 271)
Papers Please	mouse left down	12626486	(598, 265)
Papers Please	mouse left up	12626627	(598, 265)
Papers Please	mouse left down	12633116	(386, 636)
Papers Please	mouse left up	12633553	(870, 605)
Papers Please	mouse left down	12634583	(1366, 461)
Papers Please	mouse left up	12634676	(1353, 464)
Papers Please	mouse left down	12635020	(919, 648)
